Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000000003,TSPAN6,protein_coding,609,693,374,388,1075,333,348,964
ENSG00000000419,DPM1,protein_coding,4390,4918,4982,5766,3254,1030,1042,2438
ENSG00000000457,SCYL3,protein_coding,764,826,593,654,91,25,31,101
ENSG00000000460,FIRRM,protein_coding,398,512,559,509,444,160,188,471
ENSG00000000938,FGR,protein_coding,2,2,2,1,0,0,0,1
ENSG00000000971,CFH,protein_coding,0,0,3,0,22,5,10,21
ENSG00000001036,FUCA2,protein_coding,222,272,393,547,995,338,337,857
ENSG00000001084,GCLC,protein_coding,1462,1992,1080,1045,937,303,356,1061
ENSG00000001167,NFYA,protein_coding,5775,6288,4589,4954,2267,694,663,1805
ENSG00000001460,STPG1,protein_coding,294,293,439,520,307,120,126,376
ENSG00000001461,NIPAL3,protein_coding,1676,2022,2190,2760,819,257,315,851
ENSG00000001497,LAS1L,protein_coding,2229,2396,2805,3568,404,146,210,574
ENSG00000001561,ENPP4,protein_coding,1363,1558,1256,1356,1740,570,514,1522
ENSG00000001617,SEMA3F,protein_coding,1281,1226,776,1011,275,90,149,381
ENSG00000001626,CFTR,protein_coding,7,2,10,13,0,0,0,2
ENSG00000001629,ANKIB1,protein_coding,2468,2880,2521,2760,1302,414,462,1243
ENSG00000001630,CYP51A1,protein_coding,116,165,171,196,98,29,41,101
ENSG00000001631,KRIT1,protein_coding,500,595,547,601,113,59,38,142
ENSG00000002016,RAD52,protein_coding,481,617,619,723,163,44,70,189
ENSG00000002330,BAD,protein_coding,675,727,557,1234,302,107,161,316
ENSG00000002549,LAP3,protein_coding,2149,2560,3914,4974,774,246,333,947
ENSG00000002586,CD99,protein_coding,9045,10936,7785,10046,4081,1512,1161,3042
ENSG00000002587,HS3ST1,protein_coding,77,93,249,427,58,17,16,42
ENSG00000002726,AOC1,protein_coding,4,4,3,4,1,0,0,0
ENSG00000002746,HECW1,protein_coding,0,3,1,1,17,9,10,45
ENSG00000002822,MAD1L1,protein_coding,1,5,3,2,2,2,3,3
ENSG00000002834,LASP1,protein_coding,4625,5203,4842,5605,7889,2739,2994,7907
ENSG00000002919,SNX11,protein_coding,337,346,364,559,420,142,157,421
ENSG00000003056,M6PR,protein_coding,2508,2822,2679,3153,2891,1091,1345,3174
ENSG00000003096,KLHL13,protein_coding,71,94,123,212,280,87,116,274
ENSG00000003137,CYP26B1,protein_coding,54,88,33,36,660,194,195,484
ENSG00000003147,ICA1,protein_coding,2740,2912,2832,3675,35,20,14,67
ENSG00000003249,DBNDD1,protein_coding,2074,2323,1556,2350,528,146,180,428
ENSG00000003393,ALS2,protein_coding,1934,2141,1734,1853,630,215,241,774
ENSG00000003400,CASP10,protein_coding,46,53,69,76,2,3,4,5
ENSG00000003402,CFLAR,protein_coding,2805,3303,2872,2969,857,281,312,878
ENSG00000003436,TFPI,protein_coding,9255,10438,5006,5244,3067,1006,633,1876
ENSG00000003509,NDUFAF7,protein_coding,865,949,906,1093,374,165,208,535
ENSG00000003756,RBM5,protein_coding,4906,5173,4132,5194,925,280,304,957
ENSG00000003987,MTMR7,protein_coding,0,2,0,0,4,1,0,3
ENSG00000003989,SLC7A2,protein_coding,773,930,591,637,143,33,108,313
ENSG00000004059,ARF5,protein_coding,2959,3412,2509,4162,752,317,367,1004
ENSG00000004139,SARM1,protein_coding,1012,1249,1286,1988,67,30,65,169
ENSG00000004142,POLDIP2,protein_coding,4262,4918,5596,7741,1300,457,669,1592
ENSG00000004399,PLXND1,protein_coding,262,262,85,94,160,69,66,221
ENSG00000004455,AK2,protein_coding,6969,8411,8003,8870,2644,948,883,2390
ENSG00000004468,CD38,protein_coding,1,3,8,7,2,1,0,5
ENSG00000004478,FKBP4,protein_coding,9970,12632,15431,18678,4151,1432,1882,4729
ENSG00000004487,KDM1A,protein_coding,4477,5422,3658,3963,1566,539,626,1657
ENSG00000004534,RBM6,protein_coding,7743,8463,4962,5772,562,175,219,563
ENSG00000004660,CAMKK1,protein_coding,473,645,631,699,100,64,113,228
ENSG00000004700,RECQL,protein_coding,2022,2357,2426,2536,3179,1066,826,2311
ENSG00000004766,VPS50,protein_coding,702,877,1148,1089,1004,325,375,1072
ENSG00000004776,HSPB6,protein_coding,196,209,113,154,11,2,2,17
ENSG00000004777,ARHGAP33,protein_coding,1263,1185,703,937,32,26,27,63
ENSG00000004779,NDUFAB1,protein_coding,2206,2685,2885,4038,858,304,294,837
ENSG00000004799,PDK4,protein_coding,0,0,2,1,50,16,21,65
ENSG00000004809,SLC22A16,protein_coding,7,10,14,12,2,0,1,3
ENSG00000004838,ZMYND10,protein_coding,84,73,78,96,11,1,2,7
ENSG00000004846,ABCB5,protein_coding,9,17,42,45,1,1,0,4
ENSG00000004848,ARX,protein_coding,39,45,47,80,1,1,1,6
ENSG00000004864,SLC25A13,protein_coding,1286,1713,1757,1912,1016,322,419,1088
ENSG00000004866,ST7,protein_coding,7293,7252,4845,6526,639,238,311,768
ENSG00000004897,CDC27,protein_coding,6233,7790,7089,7105,14536,4426,3373,9839
ENSG00000004939,SLC4A1,protein_coding,5,2,6,5,0,0,0,6
ENSG00000004948,CALCR,protein_coding,1,1,0,0,0,0,0,1
ENSG00000004961,HCCS,protein_coding,1054,1224,859,1090,746,288,346,867
ENSG00000004975,DVL2,protein_coding,2376,2720,1591,2089,654,260,296,774
ENSG00000005001,PRSS22,protein_coding,12,9,7,10,11,3,4,14
ENSG00000005007,UPF1,protein_coding,3774,4568,3167,3739,467,149,182,399
ENSG00000005020,SKAP2,protein_coding,2675,2964,2481,2782,1020,402,312,1132
ENSG00000005022,SLC25A5,protein_coding,6899,8401,8138,10279,3558,1201,1239,3394
ENSG00000005059,MCUB,protein_coding,8,11,20,39,642,203,136,381
ENSG00000005073,HOXA11,protein_coding,8,12,3,2,393,109,143,399
ENSG00000005075,POLR2J,protein_coding,444,555,485,853,292,132,211,441
ENSG00000005100,DHX33,protein_coding,2086,2518,1797,2124,367,121,201,518
ENSG00000005102,MEOX1,protein_coding,0,0,0,0,5,1,2,6
ENSG00000005108,THSD7A,protein_coding,98,131,4,7,0,0,0,2
ENSG00000005156,LIG3,protein_coding,2811,3290,3645,4074,634,246,453,1158
ENSG00000005175,RPAP3,protein_coding,4969,5440,5719,6103,2697,743,889,2609
ENSG00000005187,ACSM3,protein_coding,1185,1255,2471,2506,75,27,51,147
ENSG00000005189,REXO5,protein_coding,785,883,757,786,108,53,65,172
ENSG00000005194,CIAPIN1,protein_coding,1131,1363,1163,1659,559,176,254,738
ENSG00000005206,SPPL2B,protein_coding,1094,1111,739,1149,87,49,74,143
ENSG00000005238,ATOSB,protein_coding,1423,1429,884,1534,531,207,157,379
ENSG00000005243,COPZ2,protein_coding,0,2,4,4,14,10,14,21
ENSG00000005249,PRKAR2B,protein_coding,1410,1497,1211,1208,60,23,17,93
ENSG00000005302,MSL3,protein_coding,2300,2893,1602,1819,2638,847,813,2186
ENSG00000005339,CREBBP,protein_coding,5007,5774,3330,4086,1455,457,407,1060
ENSG00000005379,TSPOAP1,protein_coding,213,236,143,238,103,46,72,165
ENSG00000005421,PON1,protein_coding,0,2,0,1,0,0,0,1
ENSG00000005436,GCFC2,protein_coding,1434,1754,1736,1744,760,251,337,942
ENSG00000005448,WDR54,protein_coding,406,467,280,457,747,319,148,350
ENSG00000005469,CROT,protein_coding,981,1278,1117,1418,328,127,176,433
ENSG00000005471,ABCB4,protein_coding,2,2,5,11,4,3,4,6
ENSG00000005483,KMT2E,protein_coding,13326,14683,7118,7653,2762,922,490,1641
ENSG00000005486,RHBDD2,protein_coding,1409,1459,728,1078,354,158,155,379
ENSG00000005513,SOX8,protein_coding,171,168,333,469,32,6,16,36
ENSG00000005700,IBTK,protein_coding,4282,4607,5252,5817,1391,449,468,1293
ENSG00000005801,ZNF195,protein_coding,1753,2175,2049,2122,602,193,260,724
ENSG00000005810,MYCBP2,protein_coding,7737,10091,9567,10227,609,184,205,661
ENSG00000005812,FBXL3,protein_coding,3545,4398,3161,3124,1341,398,285,828
ENSG00000005844,ITGAL,protein_coding,24,12,16,5,0,0,0,0
ENSG00000005882,PDK2,protein_coding,1972,2079,1940,2582,651,238,276,851
ENSG00000005884,ITGA3,protein_coding,686,692,371,609,7128,2797,1916,5131
ENSG00000005889,ZFX,protein_coding,2472,2927,1541,1456,3487,1040,1063,2882
ENSG00000005893,LAMP2,protein_coding,6267,7017,7212,6963,5137,1689,1637,4508
ENSG00000005961,ITGA2B,protein_coding,14,10,3,6,26,16,15,44
ENSG00000005981,ASB4,protein_coding,0,0,0,0,1,0,3,3
ENSG00000006007,GDE1,protein_coding,12239,12616,3437,4695,6016,1925,1370,3736
ENSG00000006015,REX1BD,protein_coding,370,430,509,997,149,75,121,283
ENSG00000006016,CRLF1,protein_coding,22,13,4,6,22,6,12,27
ENSG00000006025,OSBPL7,protein_coding,72,101,3,25,229,103,83,220
ENSG00000006042,TMEM98,protein_coding,910,998,1098,1642,727,291,306,878
ENSG00000006047,YBX2,protein_coding,173,192,137,170,1,0,0,5
ENSG00000006062,MAP3K14,protein_coding,277,349,412,613,800,297,392,1005
ENSG00000006071,ABCC8,protein_coding,268,244,280,373,4,2,3,11
ENSG00000006118,TMEM132A,protein_coding,2574,2943,1626,3440,1074,380,466,1047
ENSG00000006125,AP2B1,protein_coding,10556,12492,12127,13423,4181,1475,1659,4368
ENSG00000006128,TAC1,protein_coding,0,1,0,0,0,0,0,1
ENSG00000006194,ZNF263,protein_coding,1576,1752,1543,2140,83,31,36,112
ENSG00000006210,CX3CL1,protein_coding,3,2,1,2,4,0,2,3
ENSG00000006282,SPATA20,protein_coding,4316,4961,3915,5637,604,241,333,817
ENSG00000006283,CACNA1G,protein_coding,32,58,8,14,56,19,26,57
ENSG00000006327,TNFRSF12A,protein_coding,551,630,248,408,2702,980,1740,3815
ENSG00000006377,DLX6,protein_coding,2,0,0,0,9,3,3,4
ENSG00000006432,MAP3K9,protein_coding,939,1074,601,818,3711,1278,1251,3102
ENSG00000006451,RALA,protein_coding,2653,2829,2934,3603,1555,494,474,1217
ENSG00000006453,BAIAP2L1,protein_coding,2842,3164,3178,3641,947,329,287,682
ENSG00000006459,KDM7A,protein_coding,1764,1832,959,848,329,82,89,235
ENSG00000006468,ETV1,protein_coding,15122,17438,11523,11438,1983,636,808,2311
ENSG00000006530,AGK,protein_coding,2414,2626,3322,4050,818,298,435,1211
ENSG00000006534,ALDH3B1,protein_coding,72,48,79,90,388,194,332,809
ENSG00000006555,TTC22,protein_coding,0,1,0,2,96,29,30,96
ENSG00000006576,PHTF2,protein_coding,2124,2591,1877,1749,718,250,242,789
ENSG00000006606,CCL26,protein_coding,37,57,2,4,208,66,72,182
ENSG00000006607,FARP2,protein_coding,2881,3433,2283,2663,327,119,100,364
ENSG00000006611,USH1C,protein_coding,12,8,1,2,1,0,0,4
ENSG00000006625,GGCT,protein_coding,2294,2627,4986,6469,476,158,243,540
ENSG00000006634,DBF4,protein_coding,1754,2049,2486,2434,852,306,385,1056
ENSG00000006638,TBXA2R,protein_coding,7,2,2,2,20,10,23,32
ENSG00000006652,IFRD1,protein_coding,3132,3336,3069,3414,928,296,448,1111
ENSG00000006695,COX10,protein_coding,656,684,966,1099,674,257,382,1064
ENSG00000006704,GTF2IRD1,protein_coding,1348,1461,732,986,218,63,108,283
ENSG00000006712,PAF1,protein_coding,5800,6848,5383,6846,704,180,285,781
ENSG00000006715,VPS41,protein_coding,1850,2212,2266,2645,1943,639,723,1877
ENSG00000006740,ARHGAP44,protein_coding,1191,1186,749,1068,251,84,114,312
ENSG00000006744,ELAC2,protein_coding,2630,3050,3444,4272,498,145,298,671
ENSG00000006747,SCIN,protein_coding,47,73,78,81,12,5,6,20
ENSG00000006756,ARSD,protein_coding,1693,1897,1848,2447,396,145,170,444
ENSG00000006757,PNPLA4,protein_coding,1039,1199,1492,2259,409,170,243,553
ENSG00000006788,MYH13,protein_coding,10,22,6,14,0,0,0,0
ENSG00000006831,ADIPOR2,protein_coding,1872,2221,1781,2258,422,154,174,510
ENSG00000006837,CDKL3,protein_coding,64,94,79,99,12,3,6,16
ENSG00000007001,UPP2,protein_coding,0,0,1,2,0,0,0,0
ENSG00000007047,MARK4,protein_coding,585,650,358,560,108,33,46,112
ENSG00000007062,PROM1,protein_coding,1,2,5,6,12,5,1,1
ENSG00000007080,CCDC124,protein_coding,2452,2517,2573,4291,624,224,356,817
ENSG00000007168,PAFAH1B1,protein_coding,6058,7499,5700,6083,3895,1328,975,2886
ENSG00000007171,NOS2,protein_coding,0,1,0,0,20,5,9,15
ENSG00000007174,DNAH9,protein_coding,108,100,70,90,0,0,0,0
ENSG00000007202,BLTP2,protein_coding,14994,18261,13180,16718,6189,1914,2143,5827
ENSG00000007216,SLC13A2,protein_coding,0,2,0,1,0,0,0,0
ENSG00000007237,GAS7,protein_coding,21,17,5,10,1,2,4,2
ENSG00000007255,TRAPPC6A,protein_coding,176,159,205,367,44,21,31,67
ENSG00000007264,MATK,protein_coding,9,6,5,13,7,6,7,23
ENSG00000007314,SCN4A,protein_coding,0,1,3,0,2,1,2,2
ENSG00000007341,ST7L,protein_coding,975,1134,1490,1705,709,246,265,703
ENSG00000007350,TKTL1,protein_coding,10,16,8,4,2,0,0,0
ENSG00000007372,PAX6,protein_coding,0,0,0,2,347,107,143,346
ENSG00000007376,RPUSD1,protein_coding,643,830,585,1056,567,202,373,882
ENSG00000007384,RHBDF1,protein_coding,1662,1972,1081,1394,422,135,118,307
ENSG00000007392,LUC7L,protein_coding,4002,4549,2411,2734,121,30,35,116
ENSG00000007402,CACNA2D2,protein_coding,282,213,256,396,98,30,49,131
ENSG00000007516,BAIAP3,protein_coding,301,317,240,300,94,39,41,73
ENSG00000007520,TSR3,protein_coding,1483,1678,1822,2845,385,132,237,623
ENSG00000007541,PIGQ,protein_coding,766,800,495,863,163,71,84,242
ENSG00000007545,CRAMP1,protein_coding,480,634,417,550,37,18,9,29
ENSG00000007866,TEAD3,protein_coding,1248,1419,774,1087,302,117,78,234
ENSG00000007908,SELE,protein_coding,0,4,1,2,0,0,0,0
ENSG00000007923,DNAJC11,protein_coding,3309,3737,3309,4218,1161,411,441,1108
ENSG00000007933,FMO3,protein_coding,6,6,4,3,1,0,0,0
ENSG00000007944,MYLIP,protein_coding,1027,1065,738,967,293,97,170,400
ENSG00000007952,NOX1,protein_coding,5,4,9,5,2,0,0,0
ENSG00000007968,E2F2,protein_coding,257,358,394,361,60,26,36,120
ENSG00000008018,PSMB1,protein_coding,6014,7919,9218,9328,2554,845,888,2173
ENSG00000008056,SYN1,protein_coding,11,3,4,6,41,8,2,15
ENSG00000008083,JARID2,protein_coding,2215,2612,1520,1881,335,124,137,308
ENSG00000008086,CDKL5,protein_coding,473,540,469,465,2280,769,487,1472
ENSG00000008118,CAMK1G,protein_coding,1,2,2,4,1,2,2,7
ENSG00000008128,CDK11A,protein_coding,115,110,60,97,0,0,0,1
ENSG00000008130,NADK,protein_coding,1881,2175,1905,2062,169,75,101,276
ENSG00000008196,TFAP2B,protein_coding,1,0,1,2,0,0,1,0
ENSG00000008226,DLEC1,protein_coding,11,10,9,2,3,0,0,1
ENSG00000008256,CYTH3,protein_coding,1257,1499,2131,2275,160,46,71,219
ENSG00000008277,ADAM22,protein_coding,700,860,1160,1304,340,115,152,377
ENSG00000008282,SYPL1,protein_coding,5446,6656,6706,5940,2571,913,747,2080
ENSG00000008283,CYB561,protein_coding,4193,5162,4871,5175,1585,548,812,2057
ENSG00000008294,SPAG9,protein_coding,2365,2621,2287,2456,1803,532,557,1623
ENSG00000008300,CELSR3,protein_coding,805,892,305,445,76,39,34,76
ENSG00000008311,AASS,protein_coding,1414,1644,2310,2482,1027,331,413,1331
ENSG00000008323,PLEKHG6,protein_coding,66,64,35,45,33,10,14,47
ENSG00000008324,SS18L2,protein_coding,381,450,371,489,84,29,32,101
ENSG00000008382,MPND,protein_coding,213,238,282,612,44,16,43,71
ENSG00000008394,MGST1,protein_coding,8004,9318,17057,20344,5757,1964,1865,5760
ENSG00000008405,CRY1,protein_coding,1156,1320,714,859,721,230,211,432
ENSG00000008441,NFIX,protein_coding,30242,33213,28582,39490,1622,538,544,1592
ENSG00000008513,ST3GAL1,protein_coding,32548,35568,28169,35545,3854,1300,971,2427
ENSG00000008516,MMP25,protein_coding,17,28,14,11,7,8,5,16
ENSG00000008517,IL32,protein_coding,674,751,307,328,379,160,158,432
ENSG00000008710,PKD1,protein_coding,2848,2831,1870,2954,248,103,128,336
ENSG00000008735,MAPK8IP2,protein_coding,441,529,414,875,24,3,4,9
ENSG00000008838,MED24,protein_coding,2247,2803,1967,2776,551,187,270,586
ENSG00000008853,RHOBTB2,protein_coding,754,803,863,1124,642,213,356,910
ENSG00000008869,HEATR5B,protein_coding,1890,2188,2041,2305,799,287,314,764
ENSG00000008952,SEC62,protein_coding,7860,8963,9406,11623,446,103,145,524
ENSG00000008988,RPS20,protein_coding,10943,12970,13125,20300,2271,732,992,2234
ENSG00000009307,CSDE1,protein_coding,41898,47723,43765,48514,12016,3692,3672,10484
ENSG00000009335,UBE3C,protein_coding,5634,6679,5840,6498,3191,1028,1199,2918
ENSG00000009413,REV3L,protein_coding,2091,2641,1571,1653,1090,349,484,1311
ENSG00000009694,TENM1,protein_coding,1311,1456,488,575,19,9,0,16
ENSG00000009724,MASP2,protein_coding,4,2,10,9,0,1,1,6
ENSG00000009765,IYD,protein_coding,507,550,621,578,0,1,2,0
ENSG00000009780,FAM76A,protein_coding,523,545,601,669,282,77,110,319
ENSG00000009830,POMT2,protein_coding,1116,1385,897,1040,167,45,68,192
ENSG00000009844,VTA1,protein_coding,4200,4773,4356,4582,2410,863,848,2501
ENSG00000009950,MLXIPL,protein_coding,271,245,271,337,33,14,25,61
ENSG00000009954,BAZ1B,protein_coding,10111,11688,9258,10050,530,162,260,676
ENSG00000010017,RANBP9,protein_coding,4329,4464,3102,3341,788,243,242,799
ENSG00000010030,ETV7,protein_coding,4,9,24,42,6,0,1,3
ENSG00000010072,SPRTN,protein_coding,700,868,804,868,303,98,127,401
ENSG00000010165,METTL13,protein_coding,898,1126,1440,1911,827,273,476,1176
ENSG00000010219,DYRK4,protein_coding,879,1040,821,1038,338,103,165,463
ENSG00000010244,ZNF207,protein_coding,7169,8413,7891,9119,3476,1295,1335,3690
ENSG00000010256,UQCRC1,protein_coding,3128,3553,2894,4996,1880,634,850,1996
ENSG00000010270,STARD3NL,protein_coding,1703,1868,1923,2299,918,321,337,893
ENSG00000010278,CD9,protein_coding,43456,42803,30598,46178,2609,816,637,1766
ENSG00000010282,HHATL,protein_coding,2,4,2,3,0,0,0,0
ENSG00000010292,NCAPD2,protein_coding,4995,5830,5888,5938,4696,1660,1810,5044
ENSG00000010295,IFFO1,protein_coding,15,17,13,3,18,4,4,6
ENSG00000010310,GIPR,protein_coding,0,1,0,3,15,6,1,10
ENSG00000010318,PHF7,protein_coding,370,375,415,502,104,41,52,156
ENSG00000010319,SEMA3G,protein_coding,355,345,362,405,10,4,5,13
ENSG00000010322,NISCH,protein_coding,4740,5142,4128,5642,723,256,332,887
ENSG00000010327,STAB1,protein_coding,17,9,5,7,1,0,0,3
ENSG00000010361,FUZ,protein_coding,262,279,156,244,59,9,26,62
ENSG00000010379,SLC6A13,protein_coding,5,7,10,12,0,0,1,1
ENSG00000010404,IDS,protein_coding,197,163,124,141,167,58,71,169
ENSG00000010438,PRSS3,protein_coding,0,1,1,5,57,16,5,29
ENSG00000010539,ZNF200,protein_coding,489,601,540,518,110,45,49,136
ENSG00000010610,CD4,protein_coding,15,19,10,19,0,0,0,0
ENSG00000010626,LRRC23,protein_coding,484,536,642,702,78,36,44,98
ENSG00000010671,BTK,protein_coding,7,4,7,8,8,2,4,17
ENSG00000010704,HFE,protein_coding,154,212,226,188,0,0,0,0
ENSG00000010803,SCMH1,protein_coding,2438,2658,2646,3209,482,153,194,637
ENSG00000010810,FYN,protein_coding,271,293,94,195,346,110,117,320
ENSG00000010818,HIVEP2,protein_coding,3044,3475,1848,1971,1999,647,414,1158
ENSG00000011007,ELOA,protein_coding,3733,4405,3225,3931,878,323,362,982
ENSG00000011009,LYPLA2,protein_coding,1118,1247,835,1284,211,80,121,282
ENSG00000011021,CLCN6,protein_coding,1047,1331,784,879,190,66,68,228
ENSG00000011028,MRC2,protein_coding,11,5,13,14,364,134,104,297
ENSG00000011105,TSPAN9,protein_coding,772,888,893,1393,374,150,215,536
ENSG00000011114,BTBD7,protein_coding,2709,3099,2265,2360,513,161,173,464
ENSG00000011132,APBA3,protein_coding,408,435,319,510,187,74,104,293
ENSG00000011143,MKS1,protein_coding,621,766,662,778,184,86,137,327
ENSG00000011198,ABHD5,protein_coding,1576,1753,1627,1738,1818,641,451,1305
ENSG00000011201,ANOS1,protein_coding,3,1,5,3,4417,1513,1296,3679
ENSG00000011243,AKAP8L,protein_coding,5404,5913,3204,4322,856,266,291,779
ENSG00000011258,MBTD1,protein_coding,1992,2211,1894,2018,1726,589,547,1496
ENSG00000011260,UTP18,protein_coding,1139,1307,1305,1573,276,87,103,318
ENSG00000011275,RNF216,protein_coding,1487,1778,1147,1442,1197,411,476,1276
ENSG00000011295,TTC19,protein_coding,4811,5523,3419,3673,579,240,225,715
ENSG00000011304,PTBP1,protein_coding,6804,8152,7881,9212,2919,985,886,2519
ENSG00000011332,DPF1,protein_coding,257,252,225,279,54,23,25,84
ENSG00000011347,SYT7,protein_coding,4060,4054,2871,3807,114,45,36,149
ENSG00000011376,LARS2,protein_coding,2232,2568,3353,4198,677,226,364,979
ENSG00000011405,PIK3C2A,protein_coding,6079,6677,4569,4410,2127,583,683,1849
ENSG00000011422,PLAUR,protein_coding,69,82,34,50,2262,978,683,1725
ENSG00000011426,ANLN,protein_coding,4580,5384,6348,6092,10843,3446,3480,10130
ENSG00000011451,WIZ,protein_coding,5184,5728,2436,3427,675,244,285,699
ENSG00000011454,RABGAP1,protein_coding,5536,6366,5522,6093,423,129,150,414
ENSG00000011478,QPCTL,protein_coding,122,135,107,176,133,53,71,173
ENSG00000011485,PPP5C,protein_coding,1638,1838,1920,2392,567,207,325,828
ENSG00000011523,CEP68,protein_coding,562,556,746,865,359,157,212,618
ENSG00000011566,MAP4K3,protein_coding,1512,1606,1251,1278,851,275,232,754
ENSG00000011590,ZBTB32,protein_coding,0,4,1,4,2,0,0,0
ENSG00000011638,LDAF1,protein_coding,584,651,442,530,229,77,88,210
ENSG00000011677,GABRA3,protein_coding,179,219,177,236,257,73,63,180
ENSG00000012048,BRCA1,protein_coding,2062,2475,3466,3554,645,262,314,865
ENSG00000012061,ERCC1,protein_coding,773,882,893,1204,1144,462,454,1084
ENSG00000012124,CD22,protein_coding,12,19,7,3,0,0,2,0
ENSG00000012171,SEMA3B,protein_coding,566,628,299,609,357,141,96,279
ENSG00000012174,MBTPS2,protein_coding,1984,2401,2374,2396,3067,1190,1322,3558
ENSG00000012211,PRICKLE3,protein_coding,716,880,607,913,142,47,69,166
ENSG00000012223,LTF,protein_coding,20,28,112,265,0,0,0,0
ENSG00000012232,EXTL3,protein_coding,1237,1425,884,1177,1455,505,572,1560
ENSG00000012504,NR1H4,protein_coding,2,4,0,1,0,0,0,0
ENSG00000012660,ELOVL5,protein_coding,165549,204624,87450,97048,6772,2290,2867,7257
ENSG00000012779,ALOX5,protein_coding,16,13,6,11,61,23,19,35
ENSG00000012817,KDM5D,protein_coding,1972,2376,2121,2547,0,0,0,0
ENSG00000012822,CALCOCO1,protein_coding,3129,3104,1689,1950,1154,392,250,823
ENSG00000012963,UBR7,protein_coding,1819,2062,1906,2220,533,164,201,537
ENSG00000012983,MAP4K5,protein_coding,3603,3924,2363,2403,4254,1384,1039,2893
ENSG00000013016,EHD3,protein_coding,580,705,736,1217,301,87,160,359
ENSG00000013275,PSMC4,protein_coding,3500,4029,3215,4447,1585,534,572,1560
ENSG00000013288,MAN2B2,protein_coding,1899,2269,1906,2256,153,49,48,149
ENSG00000013297,CLDN11,protein_coding,9,11,7,4,237,108,126,396
ENSG00000013306,SLC25A39,protein_coding,3106,3586,3136,5601,4826,1771,2504,6206
ENSG00000013364,MVP,protein_coding,225,259,299,479,477,170,203,555
ENSG00000013374,NUB1,protein_coding,3580,4084,4736,5483,1020,335,432,1217
ENSG00000013375,PGM3,protein_coding,2225,2847,3096,3181,2090,724,563,1619
ENSG00000013392,RWDD2A,protein_coding,1662,2214,1964,2224,101,35,27,86
ENSG00000013441,CLK1,protein_coding,11518,11673,4669,5060,2600,814,526,1195
ENSG00000013503,POLR3B,protein_coding,1371,1806,2671,2838,715,226,339,909
ENSG00000013523,ANGEL1,protein_coding,1275,1401,1173,1560,130,57,97,269
ENSG00000013561,RNF14,protein_coding,2466,2851,2428,3028,641,212,237,677
ENSG00000013563,DNASE1L1,protein_coding,888,961,586,932,141,64,77,169
ENSG00000013573,DDX11,protein_coding,1027,1103,861,1012,246,83,125,303
ENSG00000013583,HEBP1,protein_coding,1352,1688,2153,2180,394,126,165,404
ENSG00000013588,GPRC5A,protein_coding,3,3,7,5,12005,4229,2112,5746
ENSG00000013619,MAMLD1,protein_coding,111,88,58,67,194,72,69,216
ENSG00000013725,CD6,protein_coding,0,0,0,0,13,6,6,16
ENSG00000013810,TACC3,protein_coding,4004,4679,3755,4479,698,207,364,826
ENSG00000014123,UFL1,protein_coding,3423,3737,4907,5129,729,291,334,929
ENSG00000014138,POLA2,protein_coding,96,122,124,171,123,50,65,162
ENSG00000014164,ZC3H3,protein_coding,243,298,212,337,247,111,96,312
ENSG00000014216,CAPN1,protein_coding,4275,4950,3119,4458,3680,1301,986,2619
ENSG00000014257,ACP3,protein_coding,323,410,1230,1397,61,29,20,37
ENSG00000014641,MDH1,protein_coding,2587,3094,2982,3643,1813,658,632,1661
ENSG00000014824,SLC30A9,protein_coding,9391,10186,10496,12576,2107,735,530,1421
ENSG00000014914,MTMR11,protein_coding,213,295,181,185,850,368,237,598
ENSG00000014919,COX15,protein_coding,696,941,1000,1231,484,194,141,423
ENSG00000015133,CCDC88C,protein_coding,4755,5335,3196,3940,87,36,35,135
ENSG00000015153,YAF2,protein_coding,655,731,608,598,420,116,141,399
ENSG00000015171,ZMYND11,protein_coding,5934,6917,6553,6895,1523,494,566,1624
ENSG00000015285,WAS,protein_coding,102,74,66,97,4,2,1,8
ENSG00000015475,BID,protein_coding,287,266,276,420,392,120,143,338
ENSG00000015479,MATR3,protein_coding,284,246,248,254,78,14,31,99
ENSG00000015520,NPC1L1,protein_coding,52,41,34,47,0,2,0,2
ENSG00000015532,XYLT2,protein_coding,828,924,843,1234,747,295,422,1116
ENSG00000015592,STMN4,protein_coding,67,71,20,152,0,0,0,0
ENSG00000015676,NUDCD3,protein_coding,1882,2140,2127,3281,737,294,414,1070
ENSG00000016082,ISL1,protein_coding,6,9,29,24,8,2,4,23
ENSG00000016391,CHDH,protein_coding,1633,1867,1364,1648,47,20,45,111
ENSG00000016402,IL20RA,protein_coding,21,16,15,33,52,17,28,79
ENSG00000016864,GLT8D1,protein_coding,1514,1660,1449,2027,802,336,369,864
ENSG00000017260,ATP2C1,protein_coding,6347,7432,5786,6219,3099,1054,1015,2703
ENSG00000017427,IGF1,protein_coding,708,729,186,204,3,1,0,0
ENSG00000017483,SLC38A5,protein_coding,9,6,15,6,27,12,1,8
ENSG00000017797,RALBP1,protein_coding,3882,4613,3290,4087,244,82,97,319
ENSG00000018189,RUFY3,protein_coding,779,898,1011,1112,142,44,76,246
